elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
0.092,edge1-edge1-api-1,0.86,991.9MiB,9.5GiB,10.20
0.190,edge1-edge1-mysql-1,0.29,380.8MiB,3.5GiB,10.63
0.287,edge1-edge1-minio-1,10.41,293.6MiB,7GiB,4.10
0.687, ,,,,
1.090,edge1-edge1-api-1,0.86,991.9MiB,9.5GiB,10.20 
1.186,edge1-edge1-mysql-1,0.29,380.8MiB,3.5GiB,10.63 
1.285,edge1-edge1-minio-1,10.41,293.6MiB,7GiB,4.10 
1.382, ,,,,
2.004,edge1-edge1-minio-1,25.70,352.1MiB,7GiB,4.91 
2.103, ,,,,
2.195,edge1-edge1-api-1,210.35,1010MiB,9.5GiB,10.38
2.292,edge1-edge1-mysql-1,0.42,380.8MiB,3.5GiB,10.63
3.088,edge1-edge1-minio-1,28.70,362.5MiB,7GiB,5.06
3.194,edge1-edge1-api-1,253.28,1013MiB,9.5GiB,10.41 
3.289,edge1-edge1-mysql-1,0.52,380.8MiB,3.5GiB,10.63 
3.484, ,,,,
4.102,edge1-edge1-minio-1,28.70,362.5MiB,7GiB,5.06 
4.216, ,,,,
4.320,edge1-edge1-api-1,233.68,1013MiB,9.5GiB,10.41
4.428,edge1-edge1-mysql-1,0.43,380.8MiB,3.5GiB,10.63
5.025,edge1-edge1-api-1,233.68,1013MiB,9.5GiB,10.41
5.121,edge1-edge1-mysql-1,0.43,380.8MiB,3.5GiB,10.63
5.216,edge1-edge1-minio-1,28.23,363.5MiB,7GiB,5.07
5.592, ,,,,
6.085,edge1-edge1-mysql-1,0.48,380.8MiB,3.5GiB,10.63 
6.178,edge1-edge1-minio-1,26.25,414.6MiB,7GiB,5.78 
6.278, ,,,,
6.372,edge1-edge1-api-1,219.64,1011MiB,9.5GiB,10.39
7.064,edge1-edge1-api-1,261.22,1014MiB,9.5GiB,10.42
7.172,edge1-edge1-mysql-1,1.31,380.8MiB,3.5GiB,10.62
7.306,edge1-edge1-minio-1,25.66,414.8MiB,7GiB,5.79
7.717, ,,,,
8.009,edge1-edge1-minio-1,25.66,414.8MiB,7GiB,5.79
8.110,edge1-edge1-api-1,261.22,1014MiB,9.5GiB,10.42 
8.207,edge1-edge1-mysql-1,1.31,380.8MiB,3.5GiB,10.62 
8.399, ,,,,
9.018,edge1-edge1-minio-1,27.37,415MiB,7GiB,5.79 
9.114, ,,,,
9.212,edge1-edge1-api-1,212.73,1021MiB,9.5GiB,10.50
9.312,edge1-edge1-mysql-1,0.48,380.8MiB,3.5GiB,10.62
10.022,edge1-edge1-mysql-1,0.45,380.8MiB,3.5GiB,10.62
10.129,edge1-edge1-minio-1,26.16,415.2MiB,7GiB,5.79
10.230,edge1-edge1-api-1,215.71,1016MiB,9.5GiB,10.45 
10.529, ,,,,
11.015,edge1-edge1-mysql-1,0.45,380.8MiB,3.5GiB,10.62 
11.111,edge1-edge1-minio-1,26.16,415.2MiB,7GiB,5.79 
11.207, ,,,,
11.310,edge1-edge1-api-1,270.59,1018MiB,9.5GiB,10.47
12.030,edge1-edge1-api-1,270.59,1018MiB,9.5GiB,10.47
12.127,edge1-edge1-mysql-1,0.44,380.8MiB,3.5GiB,10.62
12.220,edge1-edge1-minio-1,29.72,416.2MiB,7GiB,5.81
12.604, ,,,,
13.008,edge1-edge1-api-1,236.57,1018MiB,9.5GiB,10.46 
13.110,edge1-edge1-mysql-1,0.47,380.8MiB,3.5GiB,10.62 
13.211,edge1-edge1-minio-1,23.53,414.8MiB,7GiB,5.79 
13.317, ,,,,
14.058, ,,,,
14.176,edge1-edge1-api-1,272.85,1018MiB,9.5GiB,10.46
14.297,edge1-edge1-mysql-1,1.38,380.8MiB,3.5GiB,10.62
14.403,edge1-edge1-minio-1,30.89,419.5MiB,7GiB,5.85
15.022,edge1-edge1-mysql-1,1.38,380.8MiB,3.5GiB,10.62
15.126,edge1-edge1-minio-1,30.89,419.5MiB,7GiB,5.85
15.229,edge1-edge1-api-1,272.85,1018MiB,9.5GiB,10.46 
15.533, ,,,,
16.042,edge1-edge1-mysql-1,0.71,380.8MiB,3.5GiB,10.62 
16.146,edge1-edge1-minio-1,31.54,420.9MiB,7GiB,5.87 
16.247, ,,,,
16.347,edge1-edge1-api-1,262.31,1023MiB,9.5GiB,10.52
17.052,edge1-edge1-api-1,223.85,1023MiB,9.5GiB,10.52
17.156,edge1-edge1-mysql-1,0.46,380.8MiB,3.5GiB,10.62
17.261,edge1-edge1-minio-1,27.33,421.5MiB,7GiB,5.88
17.654, ,,,,
18.086,edge1-edge1-api-1,223.85,1023MiB,9.5GiB,10.52 
18.193,edge1-edge1-mysql-1,0.46,380.8MiB,3.5GiB,10.62 
18.298,edge1-edge1-minio-1,27.33,421.5MiB,7GiB,5.88 
18.397, ,,,,
19.013,edge1-edge1-minio-1,24.22,420.9MiB,7GiB,5.87 
19.113, ,,,,
19.218,edge1-edge1-api-1,227.05,1GiB,9.5GiB,10.53
19.323,edge1-edge1-mysql-1,0.44,380.8MiB,3.5GiB,10.62
