elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
0.144,edge3-edge3-api-1,0.08,292.4MiB,2.5GiB,11.42
0.260,edge3-edge3-mysql-1,0.13,376.3MiB,1GiB,36.75
0.384,edge3-edge3-minio-1,0.02,220.3MiB,2GiB,10.76
0.541,edge2-edge2-api-1,0.11,304.5MiB,2.5GiB,11.89
0.692,edge2-edge2-minio-1,0.02,223.8MiB,2GiB,10.93
0.851,edge2-edge2-mysql-1,0.13,376.4MiB,1GiB,36.75
1.021,edge1-edge1-api-1,0.11,352.6MiB,2.5GiB,13.77
1.146,edge1-edge1-mysql-1,0.14,376.3MiB,1GiB,36.75
1.269,edge1-edge1-minio-1,0.02,223.6MiB,2GiB,10.92
1.391,cloud_api_poc1,0.05,54.04MiB,2GiB,2.64
1.507,cloud_mysql_poc1,0.15,367.8MiB,512MiB,71.84
1.630,cloud_minio_poc1,0.02,224.5MiB,1GiB,21.92
1.771,edge3-edge3-api-1,0.08,292.4MiB,2.5GiB,11.42 
1.889,edge3-edge3-mysql-1,0.13,376.3MiB,1GiB,36.75 
1.997,edge3-edge3-minio-1,0.02,220.3MiB,2GiB,10.76 
2.119,edge2-edge2-api-1,0.11,304.5MiB,2.5GiB,11.89 
2.294,edge2-edge2-minio-1,0.02,223.8MiB,2GiB,10.93 
2.419,edge2-edge2-mysql-1,0.13,376.4MiB,1GiB,36.75 
2.533,edge1-edge1-api-1,0.11,352.6MiB,2.5GiB,13.77 
2.645,edge1-edge1-mysql-1,0.14,376.3MiB,1GiB,36.75 
2.766,edge1-edge1-minio-1,0.02,223.6MiB,2GiB,10.92 
2.887,cloud_api_poc1,0.05,54.04MiB,2GiB,2.64 
3.004,cloud_mysql_poc1,0.15,367.8MiB,512MiB,71.84 
3.124,cloud_minio_poc1,0.02,224.5MiB,1GiB,21.92 
3.242, ,,,,
3.369,edge3-edge3-api-1,0.08,292.4MiB,2.5GiB,11.42
3.489,edge3-edge3-mysql-1,0.13,376.3MiB,1GiB,36.75
3.617,edge3-edge3-minio-1,0.02,220.3MiB,2GiB,10.76
3.732,edge2-edge2-api-1,0.11,304.5MiB,2.5GiB,11.89
3.870,edge2-edge2-minio-1,0.02,223.8MiB,2GiB,10.93
3.978,edge2-edge2-mysql-1,0.13,376.4MiB,1GiB,36.75
4.103,edge1-edge1-api-1,0.11,352.6MiB,2.5GiB,13.77
4.295,edge1-edge1-mysql-1,0.14,376.3MiB,1GiB,36.75
4.418,edge1-edge1-minio-1,0.02,223.6MiB,2GiB,10.92
4.533,cloud_api_poc1,0.05,54.04MiB,2GiB,2.64
4.655,cloud_mysql_poc1,0.15,367.8MiB,512MiB,71.84
4.796,cloud_minio_poc1,0.02,224.5MiB,1GiB,21.92
4.908,edge3-edge3-api-1,0.08,292.4MiB,2.5GiB,11.42 
5.013,edge3-edge3-mysql-1,0.13,376.3MiB,1GiB,36.75 
5.134,edge3-edge3-minio-1,0.02,220.3MiB,2GiB,10.76 
5.251,edge2-edge2-api-1,0.11,304.5MiB,2.5GiB,11.89 
5.384,edge2-edge2-minio-1,0.02,223.8MiB,2GiB,10.93 
5.494,edge2-edge2-mysql-1,0.13,376.4MiB,1GiB,36.75 
5.616,edge1-edge1-api-1,0.11,352.6MiB,2.5GiB,13.77 
5.740,edge1-edge1-mysql-1,0.14,376.3MiB,1GiB,36.75 
5.863,edge1-edge1-minio-1,0.02,223.6MiB,2GiB,10.92 
5.997,cloud_api_poc1,0.05,54.04MiB,2GiB,2.64 
6.128,cloud_mysql_poc1,0.15,367.8MiB,512MiB,71.84 
6.264,cloud_minio_poc1,0.02,224.5MiB,1GiB,21.92 
6.384, ,,,,
6.505,edge3-edge3-api-1,43.54,302.4MiB,2.5GiB,11.81
6.628,edge3-edge3-mysql-1,0.44,376.3MiB,1GiB,36.75
6.750,edge3-edge3-minio-1,3.45,235.3MiB,2GiB,11.49
6.880,edge2-edge2-api-1,36.27,310.8MiB,2.5GiB,12.14
7.008,edge2-edge2-minio-1,3.35,232MiB,2GiB,11.33
7.127,edge2-edge2-mysql-1,0.45,376.4MiB,1GiB,36.75
7.227,edge1-edge1-api-1,35.45,358.1MiB,2.5GiB,13.99
7.342,edge1-edge1-mysql-1,1.48,376.3MiB,1GiB,36.75
7.468,edge1-edge1-minio-1,3.35,233.7MiB,2GiB,11.41
7.583,cloud_api_poc1,20.82,59.76MiB,2GiB,2.92
7.722,cloud_mysql_poc1,0.44,367.8MiB,512MiB,71.84
7.851,cloud_minio_poc1,2.72,234.7MiB,1GiB,22.92
7.964,edge3-edge3-api-1,43.54,302.4MiB,2.5GiB,11.81 
8.084,edge3-edge3-mysql-1,0.44,376.3MiB,1GiB,36.75 
8.207,edge3-edge3-minio-1,3.45,235.3MiB,2GiB,11.49 
8.334,edge2-edge2-api-1,36.27,310.8MiB,2.5GiB,12.14 
8.516,edge2-edge2-minio-1,3.35,232MiB,2GiB,11.33 
8.632,edge2-edge2-mysql-1,0.45,376.4MiB,1GiB,36.75 
8.759,edge1-edge1-api-1,35.45,358.1MiB,2.5GiB,13.99 
8.883,edge1-edge1-mysql-1,1.48,376.3MiB,1GiB,36.75 
8.997,edge1-edge1-minio-1,3.35,233.7MiB,2GiB,11.41 
9.112,cloud_api_poc1,20.82,59.76MiB,2GiB,2.92 
9.257,cloud_mysql_poc1,0.44,367.8MiB,512MiB,71.84 
9.383,cloud_minio_poc1,2.72,234.7MiB,1GiB,22.92 
9.499, ,,,,
9.631,edge3-edge3-api-1,43.54,302.4MiB,2.5GiB,11.81
9.739,edge3-edge3-mysql-1,0.44,376.3MiB,1GiB,36.75
9.860,edge3-edge3-minio-1,3.45,235.3MiB,2GiB,11.49
9.981,edge2-edge2-api-1,36.27,310.8MiB,2.5GiB,12.14
10.099,edge2-edge2-minio-1,3.35,232MiB,2GiB,11.33
10.252,edge2-edge2-mysql-1,0.45,376.4MiB,1GiB,36.75
10.373,edge1-edge1-api-1,35.45,358.1MiB,2.5GiB,13.99
10.498,edge1-edge1-mysql-1,1.48,376.3MiB,1GiB,36.75
10.612,edge1-edge1-minio-1,3.35,233.7MiB,2GiB,11.41
10.717,cloud_api_poc1,20.82,59.76MiB,2GiB,2.92
10.828,cloud_mysql_poc1,0.44,367.8MiB,512MiB,71.84
10.933,cloud_minio_poc1,2.72,234.7MiB,1GiB,22.92
11.045,edge3-edge3-api-1,43.54,302.4MiB,2.5GiB,11.81 
11.152,edge3-edge3-mysql-1,0.44,376.3MiB,1GiB,36.75 
11.272,edge3-edge3-minio-1,3.45,235.3MiB,2GiB,11.49 
11.384,edge2-edge2-api-1,36.27,310.8MiB,2.5GiB,12.14 
11.510,edge2-edge2-minio-1,3.35,232MiB,2GiB,11.33 
11.628,edge2-edge2-mysql-1,0.45,376.4MiB,1GiB,36.75 
11.745,edge1-edge1-api-1,35.45,358.1MiB,2.5GiB,13.99 
11.862,edge1-edge1-mysql-1,1.48,376.3MiB,1GiB,36.75 
11.966,edge1-edge1-minio-1,3.35,233.7MiB,2GiB,11.41 
12.085,cloud_api_poc1,20.82,59.76MiB,2GiB,2.92 
12.205,cloud_mysql_poc1,0.44,367.8MiB,512MiB,71.84 
12.324,cloud_minio_poc1,2.72,234.7MiB,1GiB,22.92 
12.440, ,,,,
