elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
0.076,edge3-edge3-api-1,0.17,364.6MiB,2.5GiB,14.24
0.155,edge3-edge3-minio-1,0.04,254.8MiB,2GiB,12.44
0.237,edge3-edge3-mysql-1,0.23,376.4MiB,1GiB,36.75
0.316,edge2-edge2-api-1,0.22,318.5MiB,2.5GiB,12.44
0.391,edge2-edge2-mysql-1,0.25,376.3MiB,1GiB,36.75
0.470,edge2-edge2-minio-1,0.04,217.9MiB,2GiB,10.64
0.548,edge1-edge1-api-1,0.22,352.6MiB,2.5GiB,13.77
0.626,edge1-edge1-mysql-1,0.25,376.4MiB,1GiB,36.75
0.711,edge1-edge1-minio-1,0.04,226.4MiB,2GiB,11.06
0.790,cloud_api_poc1,0.11,53.98MiB,2GiB,2.64
0.867,cloud_mysql_poc1,0.29,367.8MiB,512MiB,71.84
0.948,cloud_minio_poc1,0.04,226MiB,1GiB,22.07
1.030,edge3-edge3-api-1,0.17,364.6MiB,2.5GiB,14.24 
1.108,edge3-edge3-minio-1,0.04,254.8MiB,2GiB,12.44 
1.183,edge3-edge3-mysql-1,0.23,376.4MiB,1GiB,36.75 
1.260,edge2-edge2-api-1,0.22,318.5MiB,2.5GiB,12.44 
1.341,edge2-edge2-mysql-1,0.25,376.3MiB,1GiB,36.75 
1.423,edge2-edge2-minio-1,0.04,217.9MiB,2GiB,10.64 
1.505,edge1-edge1-api-1,0.22,352.6MiB,2.5GiB,13.77 
1.592,edge1-edge1-mysql-1,0.25,376.4MiB,1GiB,36.75 
1.671,edge1-edge1-minio-1,0.04,226.4MiB,2GiB,11.06 
1.753,cloud_api_poc1,0.11,53.98MiB,2GiB,2.64 
1.837,cloud_mysql_poc1,0.29,367.8MiB,512MiB,71.84 
1.915,cloud_minio_poc1,0.04,226MiB,1GiB,22.07 
1.995, ,,,,
2.071,edge3-edge3-api-1,0.17,364.6MiB,2.5GiB,14.24
2.162,edge3-edge3-minio-1,0.04,254.8MiB,2GiB,12.44
2.249,edge3-edge3-mysql-1,0.23,376.4MiB,1GiB,36.75
2.345,edge2-edge2-api-1,0.22,318.5MiB,2.5GiB,12.44
2.431,edge2-edge2-mysql-1,0.25,376.3MiB,1GiB,36.75
2.515,edge2-edge2-minio-1,0.04,217.9MiB,2GiB,10.64
2.594,edge1-edge1-api-1,0.22,352.6MiB,2.5GiB,13.77
2.671,edge1-edge1-mysql-1,0.25,376.4MiB,1GiB,36.75
2.753,edge1-edge1-minio-1,0.04,226.4MiB,2GiB,11.06
2.831,cloud_api_poc1,0.11,53.98MiB,2GiB,2.64
2.918,cloud_mysql_poc1,0.29,367.8MiB,512MiB,71.84
3.004,cloud_minio_poc1,0.04,226MiB,1GiB,22.07
3.085,edge3-edge3-api-1,0.17,364.6MiB,2.5GiB,14.24 
3.159,edge3-edge3-minio-1,0.04,254.8MiB,2GiB,12.44 
3.244,edge3-edge3-mysql-1,0.23,376.4MiB,1GiB,36.75 
3.325,edge2-edge2-api-1,0.22,318.5MiB,2.5GiB,12.44 
3.408,edge2-edge2-mysql-1,0.25,376.3MiB,1GiB,36.75 
3.490,edge2-edge2-minio-1,0.04,217.9MiB,2GiB,10.64 
3.568,edge1-edge1-api-1,0.22,352.6MiB,2.5GiB,13.77 
3.648,edge1-edge1-mysql-1,0.25,376.4MiB,1GiB,36.75 
3.732,edge1-edge1-minio-1,0.04,226.4MiB,2GiB,11.06 
3.814,cloud_api_poc1,0.11,53.98MiB,2GiB,2.64 
3.894,cloud_mysql_poc1,0.29,367.8MiB,512MiB,71.84 
4.046, ,,,,
4.123,edge3-edge3-api-1,12.21,367.5MiB,2.5GiB,14.36
4.201,edge3-edge3-minio-1,0.83,254.9MiB,2GiB,12.45
4.280,edge3-edge3-mysql-1,0.43,376.3MiB,1GiB,36.75
4.367,edge2-edge2-api-1,11.17,320.5MiB,2.5GiB,12.52
4.452,edge2-edge2-mysql-1,0.45,376.3MiB,1GiB,36.75
4.535,edge2-edge2-minio-1,0.77,220MiB,2GiB,10.74
4.619,edge1-edge1-api-1,13.79,354.7MiB,2.5GiB,13.86
4.701,edge1-edge1-mysql-1,0.46,376.3MiB,1GiB,36.75
4.783,edge1-edge1-minio-1,1.07,232.5MiB,2GiB,11.35
4.865,cloud_api_poc1,14.31,55.89MiB,2GiB,2.73
4.944,cloud_mysql_poc1,0.43,367.8MiB,512MiB,71.84
5.022,cloud_minio_poc1,1.83,232.1MiB,1GiB,22.67
5.099,edge3-edge3-api-1,12.21,367.5MiB,2.5GiB,14.36 
5.174,edge3-edge3-minio-1,0.83,254.9MiB,2GiB,12.45 
5.255,edge3-edge3-mysql-1,0.43,376.3MiB,1GiB,36.75 
5.332,edge2-edge2-api-1,11.17,320.5MiB,2.5GiB,12.52 
5.417,edge2-edge2-mysql-1,0.45,376.3MiB,1GiB,36.75 
